Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr),source_file
03/01/2026 16:00,NPX,61845,68.99,3.12,-2.21,20260301damlbmp_zone.csv
03/01/2026 16:00,O H,61846,56.39,-9.49,-2.21,20260301damlbmp_zone.csv
03/01/2026 16:00,PJM,61847,45.56,-1.85,16.25,20260301damlbmp_zone.csv
03/01/2026 16:00,WEST,61752,55.45,-8.21,0.0,20260301damlbmp_zone.csv
03/01/2026 17:00,CAPITL,61757,143.97,4.78,-53.7,20260301damlbmp_zone.csv
03/01/2026 17:00,CENTRL,61754,84.2,-1.28,0.0,20260301damlbmp_zone.csv
03/01/2026 17:00,DUNWOD,61760,96.18,5.55,-5.14,20260301damlbmp_zone.csv
03/01/2026 17:00,GENESE,61753,80.36,-5.13,0.0,20260301damlbmp_zone.csv
03/01/2026 17:00,H Q,61844,75.95,-0.34,9.19,20260301damlbmp_zone.csv
03/01/2026 17:00,HUD VL,61758,96.72,4.7,-6.54,20260301damlbmp_zone.csv
03/01/2026 17:00,LONGIL,61762,97.89,7.26,-5.14,20260301damlbmp_zone.csv
03/01/2026 17:00,MHK VL,61756,92.34,3.25,-3.6,20260301damlbmp_zone.csv
03/01/2026 17:00,MILLWD,61759,96.11,5.39,-5.23,20260301damlbmp_zone.csv
03/01/2026 17:00,N.Y.C.,61761,96.35,5.73,-5.14,20260301damlbmp_zone.csv
03/01/2026 17:00,NORTH,61755,85.83,0.34,0.0,20260301damlbmp_zone.csv
03/01/2026 17:00,NPX,61845,106.6,4.02,-17.1,20260301damlbmp_zone.csv
03/01/2026 17:00,O H,61846,73.36,-9.91,2.21,20260301damlbmp_zone.csv
03/01/2026 17:00,PJM,61847,58.3,-1.11,26.07,20260301damlbmp_zone.csv
03/01/2026 17:00,WEST,61752,77.45,-8.04,0.0,20260301damlbmp_zone.csv
03/01/2026 18:00,CAPITL,61757,176.71,4.68,-91.31,20260301damlbmp_zone.csv
03/01/2026 18:00,CENTRL,61754,80.24,-0.48,0.0,20260301damlbmp_zone.csv
03/01/2026 18:00,DUNWOD,61760,94.94,5.49,-8.72,20260301damlbmp_zone.csv
03/01/2026 18:00,GENESE,61753,77.09,-3.63,0.0,20260301damlbmp_zone.csv
03/01/2026 18:00,H Q,61844,80.16,-0.56,0.0,20260301damlbmp_zone.csv
03/01/2026 18:00,HUD VL,61758,96.33,4.6,-11.01,20260301damlbmp_zone.csv
03/01/2026 18:00,LONGIL,61762,96.63,7.18,-8.73,20260301damlbmp_zone.csv
03/01/2026 18:00,MHK VL,61756,90.58,3.47,-6.39,20260301damlbmp_zone.csv
03/01/2026 18:00,MILLWD,61759,94.85,5.24,-8.89,20260301damlbmp_zone.csv
03/01/2026 18:00,N.Y.C.,61761,95.01,5.57,-8.72,20260301damlbmp_zone.csv
03/01/2026 18:00,NORTH,61755,80.72,0.0,0.0,20260301damlbmp_zone.csv
